intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
1876000,0.03821318721610006,0.6288970834730138,0.03821318721610006,0.03821318721610006,,,,"GCF_001553935.1 Actinomyces oris strain=T14V, ASM155393v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,b8fe439206f0708f15356748b7021bc7,0.6288970834730138,1876000,0,25125000,,SRS018569.tar.bz2,3aec0aa9,49093000
1076000,0.021917584991750352,0.4373983739837398,0.021917584991750352,0.021917584991750352,,,,"GCF_000164695.2 Rothia dentocariosa ATCC 17931 strain=ATCC 17931, ASM16469v2",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,749b0a6cf814c3c640e32fe578204f06,0.4373983739837398,1076000,1,24049000,,SRS018569.tar.bz2,3aec0aa9,49093000
1047000,0.021326869411117673,0.5134870034330554,0.021326869411117673,0.021326869411117673,,,,"GCF_002386345.1 Streptococcus oralis strain=FDAARGOS_367, ASM238634v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,574c99593e991dd13455614261fa499f,0.5134870034330554,1047000,2,23002000,,SRS018569.tar.bz2,3aec0aa9,49093000
1026000,0.020899109852728495,0.4576271186440678,0.020899109852728495,0.020899109852728495,,,,"GCF_902810435.1 Veillonella parvula strain=SKV38, SKV38",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,92fffacc05525a8c6779bf5455282783,0.4576271186440678,1026000,3,21976000,,SRS018569.tar.bz2,3aec0aa9,49093000
856000,0.017436294380054184,0.33581796783052176,0.017436294380054184,0.017436294380054184,,,,"GCF_000260655.1 Neisseria sicca VK64 strain=VK64, NsiccaVK64v1.0",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,91106acfd2c1834d20cbba5f154479be,0.33581796783052176,856000,4,21120000,,SRS018569.tar.bz2,3aec0aa9,49093000
824000,0.016784470291080194,0.403751233958539,0.016662253274397573,0.016662253274397573,,,,"GCF_006739205.1 Streptococcus mutans strain=NBRC 13955, ASM673920v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,ffa811dcfb8d29c5adbd20935db99d0c,0.4067127344521224,818000,5,20302000,,SRS018569.tar.bz2,3aec0aa9,49093000
837000,0.01704927382722588,0.3539568345323741,0.015032693051962602,0.015032693051962602,,,,"GCF_009496165.1 Streptococcus mitis strain=SM08, ASM949616v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,41faf50d231172e0648989fe438d8e78,0.4014388489208633,738000,6,19564000,,SRS018569.tar.bz2,3aec0aa9,49093000
1007000,0.02051208929990019,0.3233805668016194,0.013016112276699326,0.013016112276699326,,,,"GCF_003942795.1 Streptococcus mitis strain=BCC60, ASM394279v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,1e8210fe855db8186851427c306fda40,0.5096153846153846,639000,7,18925000,,SRS018569.tar.bz2,3aec0aa9,49093000
1417000,0.02886358543987941,0.19630925867006044,0.012567983215529708,0.012567983215529708,,,,"GCF_006546825.1 Actinomyces oris strain=CCUG 34288, ASM654682v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,e8605a9ea870c376247ec0446d5ce47b,0.4508431434934776,617000,8,18308000,,SRS018569.tar.bz2,3aec0aa9,49093000
584000,0.011895789623775284,0.23607540702656385,0.011223596032020859,0.011223596032020859,,,,"GCF_003943735.1 Streptococcus sanguinis strain=BCC04, ASM394373v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,87a5d63009b23fe1b6c8cef35c55f8f6,0.25021422450728364,551000,9,17757000,,SRS018569.tar.bz2,3aec0aa9,49093000
536000,0.010918053490314302,0.24374715779899955,0.010918053490314302,0.010918053490314302,,,,"GCF_000191405.1 Haemophilus parainfluenzae ATCC 33392 strain=ATCC 33392, ASM19140v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,fbfb9299b266913d2d2b6175ee509a88,0.24374715779899955,536000,10,17221000,,SRS018569.tar.bz2,3aec0aa9,49093000
489000,0.009960686859633756,0.2577706323687031,0.009797730837390259,0.009797730837390259,,,,"GCF_001553035.1 Gemella haemolysans strain=DNF01167, ASM155303v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,2d548a6a65fcf6367862b443bb8c448d,0.2620578778135048,481000,11,16740000,,SRS018569.tar.bz2,3aec0aa9,49093000
479000,0.009756991831829384,0.20892226148409895,0.009634774815146763,0.009634774815146763,,,,"GCF_000175615.1 Rothia mucilaginosa ATCC 25296 strain=ATCC 25296, ASM17561v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,11db2ba4a5b7213bf246441cf0a5780d,0.21157243816254417,473000,12,16267000,,SRS018569.tar.bz2,3aec0aa9,49093000
756000,0.01539934410201047,0.18071278825995807,0.008779255698368403,0.008779255698368403,,,,"GCF_017753665.1 Neisseria sicca strain=NS20201025, ASM1775366v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,656994ad9042a6fabbddcf639c397f96,0.3169811320754717,431000,13,15836000,,SRS018569.tar.bz2,3aec0aa9,49093000
462000,0.009410710284561953,0.14998067259373793,0.007903367078809606,0.007903367078809606,,,,"GCA_002355935.1 Rothia aeria strain=JCM 11412, ASM235593v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,eb948218f0408dc18f5b24385de1af7d,0.17858523386161576,388000,14,15448000,,SRS018569.tar.bz2,3aec0aa9,49093000
475000,0.009675513820707636,0.1745886654478976,0.007781150062126984,0.007781150062126984,,,,"GCF_001553855.1 Streptococcus gordonii strain=CCUG 33482, ASM155385v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,419095204c9ce692353e030f466fa6fe,0.21709323583180987,382000,15,15066000,,SRS018569.tar.bz2,3aec0aa9,49093000
382000,0.007781150062126984,0.13301749271137026,0.007434868514859552,0.007434868514859552,,,,"GCF_000220835.1 Actinomyces sp. oral taxon 448 str. F0400 strain=F0400, ASM22083v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,d6d62b8141634725bc92783910f04427,0.1392128279883382,365000,16,14701000,,SRS018569.tar.bz2,3aec0aa9,49093000
359000,0.007312651498176929,0.12744053958111465,0.007312651498176929,0.007312651498176929,,,,"GCF_011612265.2 Corynebacterium matruchotii strain=ATCC 14266, ASM1161226v2",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,db37b4d014ce2defcf45ffa5d152f30d,0.12744053958111465,359000,17,14342000,,SRS018569.tar.bz2,3aec0aa9,49093000
794000,0.01617338520766708,0.1646455223880597,0.007190434481494307,0.007190434481494307,,,,"GCF_000722775.1 Streptococcus mitis strain=SK608, ASM72277v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,3947903c980ed4fcceb17f5aec835ec8,0.37033582089552236,353000,18,13989000,,SRS018569.tar.bz2,3aec0aa9,49093000
914000,0.018617725541319536,0.147931654676259,0.006701566414763815,0.006701566414763815,,,,"GCF_000024945.1 Veillonella parvula DSM 2008 strain=DSM 2008, ASM2494v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,bb6c752a62c434e57bfc3292c79595c6,0.41097122302158273,329000,19,13660000,,SRS018569.tar.bz2,3aec0aa9,49093000
360000,0.0073330210009573665,0.15435294117647058,0.006681196911983378,0.006681196911983378,,,,"GCF_000963275.1 Streptococcus parasanguinis strain=MGH413, ASM96327v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,c70c057dced6059abe5194c68893395c,0.16941176470588235,328000,20,13332000,,SRS018569.tar.bz2,3aec0aa9,49093000
326000,0.0066404579064225045,0.10332805071315372,0.0066404579064225045,0.0066404579064225045,,,,"GCF_000144405.1 Prevotella melaninogenica ATCC 25845 strain=ATCC 25845, ASM14440v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,33345282ddecaefe1682f1bd43bc7ffe,0.10332805071315372,326000,21,13006000,,SRS018569.tar.bz2,3aec0aa9,49093000
433000,0.008819994703929277,0.13611859838274934,0.00617195934247245,0.00617195934247245,,,,"GCF_001061665.1 Rothia mucilaginosa strain=141_RMUC, ASM106166v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,61e7804a4c5416bc37c9d86f05d379aa,0.1945193171608266,303000,22,12703000,,SRS018569.tar.bz2,3aec0aa9,49093000
