intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,name,filename,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp
2910000,0.005737879469039113,0.8573954036535062,0.005737879469039113,0.005737879469039113,,,,"GCF_000269805.1 Actinomyces massiliensis 4401292 strain=4401292, ASM26980v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,b8d9b3912ab1d72c40680ab960f15ed9,0.8573954036535062,2910000,0,136440000,,SRS020340.tar.bz2,5120d59f,507156000
2845000,0.005609713776431709,0.8203057398327084,0.005607741996545442,0.005607741996545442,,,,"GCF_900607225.1 Pseudopropionibacterium massiliense strain=Marseille-P6184, PRJEB27265",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,a330fa33f90211355d1aa49ff001a7ef,0.8205941736371503,2844000,1,133596000,,SRS020340.tar.bz2,5120d59f,507156000
2451000,0.004832832501242221,0.8819241982507289,0.004771707324767922,0.004771707324767922,,,,"GCF_000220835.1 Actinomyces sp. oral taxon 448 str. F0400 strain=F0400, ASM22083v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,d6d62b8141634725bc92783910f04427,0.8932215743440233,2420000,2,131176000,,SRS020340.tar.bz2,5120d59f,507156000
2452000,0.004834804281128489,0.7925655492864255,0.004708610368407354,0.004708610368407354,,,,"GCF_001956585.1 Actinomyces naeslundii strain=NCTC 10301, ASM195658v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,9196730273108bdb75cdf35e1ddeada2,0.8138068370394955,2388000,3,128788000,,SRS020340.tar.bz2,5120d59f,507156000
2371000,0.004675090110340802,0.660420870567887,0.004517347719439384,0.004517347719439384,,,,"GCF_000429225.1 Actinomyces dentalis DSM 19115 strain=DSM 19115, ASM42922v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,4e2a86f3a58b6056d541a4749fa9b1ca,0.6834822715479966,2291000,4,126497000,,SRS020340.tar.bz2,5120d59f,507156000
2398000,0.0047283281672700316,0.6592427616926503,0.00408552792434675,0.00408552792434675,,,,"GCF_006546825.1 Actinomyces oris strain=CCUG 34288, ASM654682v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,e8605a9ea870c376247ec0446d5ce47b,0.7629653197581928,2072000,5,124425000,,SRS020340.tar.bz2,5120d59f,507156000
2069000,0.004079612584687946,0.9228367528991972,0.004079612584687946,0.004079612584687946,,,,"GCF_902810435.1 Veillonella parvula strain=SKV38, SKV38",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,92fffacc05525a8c6779bf5455282783,0.9228367528991972,2069000,6,122356000,,SRS020340.tar.bz2,5120d59f,507156000
1985000,0.003913983074241456,0.7046503372381967,0.003913983074241456,0.003913983074241456,,,,"GCF_011612265.2 Corynebacterium matruchotii strain=ATCC 14266, ASM1161226v2",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,db37b4d014ce2defcf45ffa5d152f30d,0.7046503372381967,1985000,7,120371000,,SRS020340.tar.bz2,5120d59f,507156000
2169000,0.004276790573314719,0.5850360576923077,0.003839055438563282,0.003839055438563282,,,,"GCF_000429265.1 Actinomyces gerencseriae DSM 6844 strain=DSM 6844, ASM42926v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,8102edb0079a0f4f6baf7d5cfab47595,0.6517427884615384,1947000,8,118424000,,SRS020340.tar.bz2,5120d59f,507156000
1944000,0.0038331400989044793,0.7005424954792043,0.003819337639700605,0.003819337639700605,,,,"GCF_013410305.1 Corynebacterium durum strain=DSM 45333, ASM1341030v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,bb2dbb46a577f5244bb32a0d740b2c37,0.7030741410488246,1937000,9,116487000,,SRS020340.tar.bz2,5120d59f,507156000
1865000,0.003677369487889328,0.7577235772357723,0.00367539770800306,0.00367539770800306,,,,"GCF_000164695.2 Rothia dentocariosa ATCC 17931 strain=ATCC 17931, ASM16469v2",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,749b0a6cf814c3c640e32fe578204f06,0.758130081300813,1864000,10,114623000,,SRS020340.tar.bz2,5120d59f,507156000
1763000,0.003476247939490019,0.6716190476190477,0.003476247939490019,0.003476247939490019,,,,"GCF_000174755.1 Capnocytophaga gingivalis ATCC 33624 strain=ATCC 33624, ASM17475v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,d01e6cee5fb78e4c7276baf9e03ef249,0.6716190476190477,1763000,11,112860000,,SRS020340.tar.bz2,5120d59f,507156000
1756000,0.003462445480286145,0.6929755327545383,0.003462445480286145,0.003462445480286145,,,,"GCF_900104625.1 Leptotrichia massiliensis strain=Marseille-P3007, PRJEB16350",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,f0cc39b60f5a40d9df773c3be9ac8a3d,0.6929755327545383,1756000,12,111104000,,SRS020340.tar.bz2,5120d59f,507156000
1696000,0.0033441386871100806,0.8317802844531633,0.0033441386871100806,0.0033441386871100806,,,,"GCF_002386345.1 Streptococcus oralis strain=FDAARGOS_367, ASM238634v1",/mnt/HDD/kia/HMP_reference/gtdb-rs207.genomic-reps.dna.k31.zip,574c99593e991dd13455614261fa499f,0.8317802844531633,1696000,13,109408000,,SRS020340.tar.bz2,5120d59f,507156000
